Sample	Sample Name	SampleType	OriginalConc	CT1	CT2	CT3	Average
Blank	Blank	Blank		33.99209	33.745102	32.014107	33.250433
Standard 10^2	Standard 10^2	Standard	1.00E+02	27.823906	28.671116	28.550806	28.3486093333
Standard 10^3	Standard 10^3	Standard	1.00E+03	23.613876	23.936264	25.601793	24.3839776667
Standard 10^4	Standard 10^4	Standard	1.00E+04	20.581408	20.003906	21.677198	20.7541706667
Standard 10^5	Standard 10^5	Standard	1.00E+05	16.902105	16.826859	17.94025	17.2230713333
Standard 10^6	Standard 10^6	Standard	1.00E+06	12.802153	12.747511	14.079848	13.2098373333
Standard 10^7	Standard 10^7	Standard	1.00E+07	9.704636	9.772754	9.990867	9.8227523333
PCR Water 1	PCR Water 1	Blank		30.79187	30.728168	34.957554	32.1591973333
PCR Water 2	PCR Water 2	Blank		31.764183	31.97903	31.655685	31.7996326667
A	negative control	Blank		33.546715	32.61243	32.549507	32.902884
B	negative control	Blank		32.79945	32.51385	31.726883	32.3467276667
C	negative control	Blank		32.765274	32.54624	30.688372	31.999962
D	negative control	Blank		31.786825	32.733677	34.743828	33.08811
E	negative control	Blank		32.586895	32.97075	32.4822	32.6799483333
F	negative control	Blank		33.053173	29.069628	31.807026	31.3099423333
G	negative control	Blank		32.98591	28.696968	32.457577	31.3801516667
H	negative control	Blank		32.6182	33.953274	31.943064	32.8381793333
I	negative control	Blank		33.755688	31.866144	32.71311	32.778314
1	stock, replicate #1	Sample		16.772295	18.561943	18.904104	18.0794473333
2	stock, replicate #2	Sample		16.580233	17.598787	18.703753	17.627591
3	1:10, replicate #1	Sample		23.636553	24.698244	25.573416	24.636071
4	1:10, replicate #2	Sample		23.78724	24.781855	25.684141	24.7510786667
5	1:20, replicate #1	Sample		25.880392	26.614845	26.96961	26.4882823333
6	1:20, replicate #2	Sample		25.148409	26.500444	26.51574	26.0548643333
7	1:30, replicate #1	Sample		25.622303	26.659449	27.083435	26.4550623333
8	1:30, replicate #2	Sample		25.547318	26.343382	26.845682	26.2454606667
9	1:40, replicate #1	Sample		26.568504	26.960915	27.966146	27.1651883333
10	1:40, replicate #2	Sample		26.546318	27.910255	28.787111	27.7478946667
11	1:50, replicate #1	Sample		26.04951	27.698696	28.546326	27.4315106667
12	1:50, replicate #2	Sample		28.074396	28.673615	29.070673	28.606228
13	1:60, replicate #1	Sample		29.962513	31.278246	31.567041	30.9359333333
14	1:60, replicate #2	Sample		28.9509	30.645197	30.437351	30.0111493333
15	1:80, replicate #1	Sample		30.866	29.973898	30.701572	30.5138233333
16	1:80, replicate #2	Sample		30.989334	30.624277	32.659214	31.424275
17	1:100, replicate #1	Sample		30.729057	31.166597	31.589155	31.161603
18	1:100, replicate #2	Sample		33.279873	30.782682	30.947851	31.6701353333
19	1:500, replicate #1	Sample		31.424152	31.555079	31.520098	31.4997763333
20	1:500, replicate #2	Sample		31.091059	31.882328	31.612175	31.5285206667
21	1:1000, replicate #1	Sample		30.9003	30.799992	31.462057	31.0541163333
22	1:1000, replicate #2	Sample		31.818089	30.394676	31.68477	31.2991783333
23	stock, replicate #3	Sample		16.854506	17.753119	18.708231	17.771952
24	stock, replicate #4	Sample		17.689453	17.74384	18.717163	18.050152
25	1:10, replicate #3	Sample		22.374336	23.818306	24.887007	23.6932163333
26	1:10, replicate #4	Sample		22.603788	23.859226	24.77793	23.7469813333
27	1:20, replicate #3	Sample		25.12271	25.738937	26.603798	25.821815
28	1:20, replicate #4	Sample		25.625685	25.864462	26.502644	25.997597
29	1:30, replicate #3	Sample		26.956837	27.844988	27.909443	27.5704226667
30	1:30, replicate #4	Sample		25.741655	26.403175	26.83	26.3249433333
31	1:40, replicate #3	Sample		26.863993	27.569424	27.821388	27.4182683333
32	1:40, replicate #4	Sample		29.198235	26.952751	27.775372	27.9754526667
33	1:50, replicate #3	Sample		26.819569	27.496714	27.586134	27.3008056667
34	1:50, replicate #4	Sample		26.855145	27.623323	27.779152	27.4192066667
35	1:60, replicate #3	Sample		27.790487	27.960155	28.843418	28.19802
36	1:60, replicate #4	Sample		27.666264	27.803263	28.60861	28.0260456667
37	1:80, replicate #3	Sample		27.826496	27.828375	28.930864	28.195245
38	1:80, replicate #4	Sample		27.906364	28.068586	28.862736	28.2792286667
39	1:100, replicate #3	Sample		28.057564	28.726965	29.025616	28.6033816667
40	1:100, replicate #4	Sample		28.700949	29.560055	30.752407	29.671137
41	1:500, replicate #3	Sample		30.065903	30.65782	31.004122	30.5759483333
42	1:500, replicate #4	Sample		30.736317	31.838001	31.60153	31.3919493333
43	1:1000, replicate #3	Sample		31.474806	30.795609	32.90394	31.724785
44	1:1000, replicate #4	Sample		30.982729	30.823605	31.547821	31.1180516667
45	stock, replicate #5	Sample		16.942947	16.952694	17.711588	17.2024096667
46	stock, replicate #6	Sample		16.828196	17.691313	17.777784	17.432431
47	1:10, replicate #5	Sample		23.296906	23.6966	24.027859	23.6737883333
48	1:10, replicate #6	Sample		22.807337	23.5078	23.934221	23.4164526667
49	1:20, replicate #5	Sample		25.688955	26.33685	27.615595	26.5471333333
50	1:20, replicate #6	Sample		23.914867	24.95222	25.828352	24.8984796667
51	1:30, replicate #5	Sample		25.720732	26.503141	27.621609	26.6151606667
52	1:30, replicate #6	Sample		26.748035	26.794271	27.58247	27.041592
53	1:40, replicate #5	Sample		26.577438	26.820154	27.49657	26.9647206667
54	1:40, replicate #6	Sample		25.844318	26.575449	26.944803	26.4548566667
55	1:50, replicate #5	Sample		27.837595	27.845755	29.766512	28.4832873333
56	1:50, replicate #6	Sample		26.021793	26.931967	27.54595	26.8332366667
57	1:60, replicate #5	Sample		27.556267	27.73563	27.840332	27.710743
58	1:60, replicate #6	Sample		26.923985	27.01887	27.76047	27.2344416667
59	1:80, replicate #5	Sample		26.844486	26.9053	27.674877	27.1415543333
60	1:80, replicate #6	Sample		26.899252	27.569796	27.874052	27.4477
61	1:100, replicate #5	Sample		28.581001	28.409624	28.870117	28.6202473333
62	1:100, replicate #6	Sample		27.618925	27.858501	28.717295	28.064907
63	1:500, replicate #5	Sample		32.737236	31.637318	31.649565	32.0080396667
64	1:500, replicate #6	Sample		30.85898	30.465508	30.69754	30.6740093333
65	1:1000, replicate #5	Sample		30.861511	31.71013	31.154238	31.2419596667
66	1:1000, replicate #6	Sample		31.513153	31.904366	33.0087	32.142073
67	stock, replicate #7	Sample		16.567148	17.024136	31.0226	21.5379613333
68	stock, replicate #8	Sample		17.878828	17.080153	17.750229	17.5697366667
69	1:10, replicate #7	Sample		22.770027	23.699392	23.777296	23.4155716667
70	1:10, replicate #8	Sample		22.575087	22.91562	24.51981	23.336839
71	1:20, replicate #7	Sample		24.877764	25.901058	26.677933	25.8189183333
72	1:20, replicate #8	Sample		24.785658	25.85635	25.747171	25.4630596667
73	1:30, replicate #7	Sample		25.762524	25.843376	26.67541	26.09377
74	1:30, replicate #8	Sample		26.155148	26.33563	27.603275	26.6980176667
75	1:40, replicate #7	Sample		26.711279	27.666607	27.739183	27.3723563333
76	1:40, replicate #8	Sample		26.524963	26.963001	26.974468	26.8208106667
77	1:50, replicate #7	Sample		26.90425	27.660791	28.060379	27.5418066667
78	1:50, replicate #8	Sample		27.430721	27.87328	28.561445	27.9551486667
79	1:60, replicate #7	Sample		26.73845	27.654652	27.99286	27.4619873333
80	1:60, replicate #8	Sample		26.670115	26.583206	27.669956	26.9744256667
81	1:80, replicate #7	Sample		26.94911	27.866533	27.83834	27.5513276667
82	1:80, replicate #8	Sample		27.029274	27.958988	28.978657	27.988973
83	1:100, replicate #7	Sample		27.74095	28.025936	28.872768	28.213218
84	1:100, replicate #8	Sample		27.739195	27.917595	27.885338	27.847376
85	1:500, replicate #7	Sample		30.685308	30.587385	31.447578	30.906757
86	1:500, replicate #8	Sample		30.710316	31.019327	31.823767	31.18447
87	1:1000, replicate #7	Sample		31.971998	31.742294	31.754835	31.8230423333
88	1:1000, replicate #8	Sample		30.02516	31.711374	30.886175	30.8742363333
89	stock, replicate #9	Sample		16.669724	16.912426	17.711285	17.0978116667
90	stock, replicate #10	Sample		15.998261	16.869051	17.566946	16.8114193333
91	1:10, replicate #9	Sample		22.631826	22.740728	22.913797	22.762117
92	1:10, replicate #10	Sample		21.640112	21.998812	22.663527	22.100817
93	1:20, replicate #9	Sample		24.637142	25.494043	25.657661	25.2629486667
94	1:20, replicate #10	Sample		24.662283	25.567587	25.833	25.35429
95	1:30, replicate #9	Sample		25.59741	26.741879	26.658941	26.3327433333
96	1:30, replicate #10	Sample		25.60396	25.907188	26.535282	26.0154766667
97	1:40, replicate #9	Sample		25.776361	26.073217	26.770042	26.20654
98	1:40, replicate #10	Sample		25.843798	26.611713	27.551062	26.6688576667
99	1:50, replicate #9	Sample		27.98163	28.815256	29.723942	28.840276
